dummy_cell_id_year,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,elev,dist_sett,dist_riv,dist_road,dist_pa,npp,treecov,agriculture,team,year,eff1,eff2,eff3,eff4,eff5,eff6,eff7,eff8,eff9,eff10,eff11,eff12,eff13,eff14,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10,team11,team12,team13,team14
101-2014,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205758032,-0.438697193,0.682623935,-0.049503734,-0.7242187,0.243127086,-0.177118049,4.566977447,T1,2014,0.240676734,0.767442136,-1.128913311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T1,T1,T1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102-2013,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.367608666,-0.238343506,1.083962957,-0.637842289,-0.71664385,2.196300827,1.233824976,-0.503696379,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103-2013,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.132126708,-0.455841658,-0.179871004,-0.676210029,-0.679447994,2.318969421,1.300643257,-0.503696379,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104-2013,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.167590818,-0.64845587,0.34610295,-0.736298824,-0.520438946,2.296094532,0.867748327,-0.385222691,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105-2013,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303620779,-0.347115083,1.367253596,-0.612385841,-0.713882403,2.233557537,1.360057661,-0.503696379,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106-2013,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046673168,-0.568815282,0.175244415,-0.689328531,-0.675975805,2.302309564,1.339045358,-0.503696379,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107-2013,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399048921,-0.500111762,-0.517205907,-0.565603791,-0.685359977,2.135636154,1.450099603,-0.503696379,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108-2013,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387913525,-0.507788614,0.661002543,-0.726686516,-0.441478909,2.158943016,1.1551752,-0.385222691,T3,2013,-0.391441748,0.767442136,-1.023560231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T3,T3,T3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109-2014,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.540402602,0.525513908,-0.010065367,-0.337945508,-0.723529211,1.633731786,1.0409873,-0.503696379,T4,2014,0.767442136,-0.602147909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110-2014,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.554260813,0.303883944,0.978085366,-0.447223691,-0.573048175,-0.417686989,-0.394188225,-0.503696379,T4,2014,0.346029815,0.767442136,-1.971737955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T4,T4,T4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
